#       r                g_cl(r)        g_cl-cl(r)         g_11(r)
       237.00000         0.00000         1.04782         0.89731
       237.50000         0.00000         0.92944         0.88793
       238.00000         0.00000         0.57968         0.88020
       238.50000         0.00000         0.34708         0.87106
       239.00000         0.00000         1.03905         0.86289
       239.50000         0.00000         1.15209         0.85624
       240.00000         0.00000         0.22994         0.84674
       240.50000         0.00000         1.14730         0.84130
       241.00000         0.00000         0.68695         0.83220
       241.50000         0.00000         0.34277         0.82292
       242.00000         0.00000         0.34206         0.81659
       242.50000         0.00000         0.79649         0.80971
       243.00000         0.00000         0.56775         0.79996
       243.50000         0.00000         0.67990         0.79445
       244.00000         0.00000         0.33925         0.78855
       244.50000         0.00000         1.01568         0.78090
       245.00000         0.00000         0.56311         0.77279
       245.50000         0.00000         0.44957         0.76732
       246.00000         0.00000         0.78516         0.76138
       246.50000         0.00000         0.67163         0.75283
       247.00000         0.00000         0.67027         0.74549
       247.50000         0.00000         0.44594         0.74176
       248.00000         0.00000         0.55630         0.73574
       248.50000         0.00000         0.55518         0.72879
       249.00000         0.00000         0.33244         0.72322
       249.50000         0.00000         0.44237         0.71781
       250.00000         0.00000         0.33111         0.71130
       250.50000         0.00000         0.55075         0.70561
       251.00000         0.00000         0.65958         0.69987
       251.50000         0.00000         0.32914         0.69567
       252.00000         0.00000         0.54747         0.69101
       252.50000         0.00000         0.43711         0.68464
       253.00000         0.00000         0.21812         0.68059
       253.50000         0.00000         0.43539         0.67515
       254.00000         0.00000         0.65179         0.67020
       254.50000         0.00000         0.75893         0.66646
       255.00000         0.00000         0.54103         0.66227
       255.50000         0.00000         0.32398         0.65775
       256.00000         0.00000         0.75449         0.65286
       256.50000         0.00000         0.75302         0.64915
       257.00000         0.00000         0.42946         0.64455
       257.50000         0.00000         0.64294         0.64214
       258.00000         0.00000         0.74864         0.63735
       258.50000         0.00000         0.42697         0.63452
       259.00000         0.00000         0.74575         0.63076
       259.50000         0.00000         0.42532         0.62706
       260.00000         0.00000         0.53063         0.62382
       260.50000         0.00000         0.63553         0.62094
       261.00000         0.00000         0.31716         0.61912
       261.50000         0.00000         0.63310         0.61602
       262.00000         0.00000         0.10532         0.61125
       262.50000         0.00000         1.36649         0.60951
       263.00000         0.00000         0.83932         0.60754
       263.50000         0.00000         0.41886         0.60528
       264.00000         0.00000         0.31355         0.60150
       264.50000         0.00000         0.20864         0.59984
       265.00000         0.00000         0.41649         0.60039
       265.50000         0.00000         1.35105         0.59652
       266.00000         0.00000         0.51866         0.59439
       266.50000         0.00000         0.10354         0.59284
       267.00000         0.00000         0.41337         0.59122
       267.50000         0.00000         0.41260         0.58848
       268.00000         0.00000         0.72070         0.58848
       268.50000         0.00000         0.61660         0.58812
       269.00000         0.00000         0.82060         0.58618
       269.50000         0.00000         0.71669         0.58386
       270.00000         0.00000         0.51097         0.58420
       270.50000         0.00000         0.30602         0.58146
       271.00000         0.00000         0.30545         0.58209
       271.50000         0.00000         0.50815         0.58118
       272.00000         0.00000         0.71010         0.58268
       272.50000         0.00000         0.60754         0.58113
       273.00000         0.00000         0.50536         0.57939
       273.50000         0.00000         0.40355         0.57945
       274.00000         0.00000         0.20141         0.57844
       274.50000         0.00000         0.60312         0.57957
       275.00000         0.00000         0.80269         0.57968
       275.50000         0.00000         0.20031         0.58017
       276.00000         0.00000         0.49987         0.58077
       276.50000         0.00000         0.29938         0.58109
       277.00000         0.00000         0.59767         0.58058
       277.50000         0.00000         0.79546         0.58066
       278.00000         0.00000         0.59552         0.58123
       278.50000         0.00000         0.49538         0.58299
       279.00000         0.00000         0.19780         0.58420
       279.50000         0.00000         0.69105         0.58547
       280.00000         0.00000         0.39418         0.58539
       280.50000         0.00000         0.49185         0.58591
       281.00000         0.00000         0.58917         0.58813
       281.50000         0.00000         0.58812         0.58879
       282.00000         0.00000         0.48923         0.59112
       282.50000         0.00000         0.48837         0.59057
       283.00000         0.00000         0.00000         0.59429
       283.50000         0.00000         0.29199         0.59592
       284.00000         0.00000         0.58294         0.59670
       284.50000         0.00000         0.87288         0.59898
       285.00000         0.00000         0.58090         0.60059
       285.50000         0.00000         0.28994         0.60303
       286.00000         0.00000         0.38591         0.60283
       286.50000         0.00000         0.09631         0.60772
       287.00000         0.00000         0.48071         0.60980
       287.50000         0.00000         0.67182         0.61161
       288.00000         0.00000         0.57485         0.61376
       288.50000         0.00000         0.47821         0.61579
       289.00000         0.00000         0.28643         0.61934
       289.50000         0.00000         0.28593         0.62045
       290.00000         0.00000         0.28544         0.62482
       290.50000         0.00000         0.66488         0.62632
       291.00000         0.00000         0.66374         0.63051
       291.50000         0.00000         0.75726         0.63373
       292.00000         0.00000         0.66147         0.63586
       292.50000         0.00000         0.37734         0.63747
       293.00000         0.00000         0.84756         0.64164
       293.50000         0.00000         0.94012         0.64535
       294.00000         0.00000         1.22008         0.64827
       294.50000         0.00000         0.56216         0.65220
       295.00000         0.00000         0.74827         0.65617
       295.50000         0.00000         0.56026         0.65768
       296.00000         0.00000         0.65253         0.66135
       296.50000         0.00000         0.46531         0.66505
       297.00000         0.00000         1.02195         0.66881
       297.50000         0.00000         0.37099         0.67371
       298.00000         0.00000         0.37037         0.67749
       298.50000         0.00000         0.46219         0.68086
       299.00000         0.00000         1.10740         0.68422
       299.50000         0.00000         0.82916         0.68870
