# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
2298000 600
399 132.501 0.408695 326.569
400 132.834 0.416719 327.495
401 133.166 0.424557 328.439
402 133.499 0.432855 329.405
403 133.831 0.440761 330.391
404 134.164 0.449055 331.398
405 134.496 0.457631 332.427
406 134.829 0.465912 333.477
407 135.161 0.474432 334.548
408 135.494 0.483179 335.643
409 135.826 0.491447 336.758
410 136.159 0.50021 337.896
411 136.491 0.509142 339.058
412 136.824 0.518157 340.243
413 137.156 0.526466 341.45
414 137.489 0.535811 342.681
415 137.821 0.544531 343.935
416 138.154 0.55384 345.214
417 138.486 0.562587 346.516
418 138.819 0.572079 347.843
419 139.151 0.581093 349.195
420 139.484 0.59056 350.572
421 139.816 0.599889 351.973
422 140.149 0.609294 353.4
423 140.481 0.618662 354.853
424 140.814 0.628313 356.332
425 141.146 0.637731 357.836
426 141.479 0.647097 359.366
427 141.811 0.656924 360.923
428 142.144 0.666652 362.507
429 142.476 0.675957 364.117
430 142.809 0.686238 365.755
431 143.141 0.695979 367.42
432 143.474 0.705876 369.112
433 143.806 0.715663 370.832
434 144.139 0.725457 372.58
435 144.471 0.735505 374.356
436 144.804 0.745655 376.16
437 145.136 0.755627 377.993
438 145.469 0.765636 379.855
439 145.801 0.775806 381.745
440 146.134 0.785603 383.664
441 146.466 0.796479 385.614
442 146.799 0.806038 387.591
443 147.131 0.816569 389.599
444 147.464 0.826578 391.636
445 147.796 0.837038 393.704
446 148.129 0.846873 395.801
447 148.461 0.857256 397.928
448 148.794 0.867852 400.086
449 149.126 0.877758 402.274
450 149.459 0.888212 404.492
451 149.791 0.898787 406.742
452 150.124 0.909023 409.023
453 150.456 0.919204 411.335
454 150.789 0.929732 413.678
455 151.121 0.940532 416.053
456 151.454 0.95044 418.459
457 151.786 0.960553 420.896
458 152.119 0.97112 423.365
459 152.451 0.981377 425.865
460 152.784 0.99172 428.398
461 153.116 1.00212 430.962
462 153.449 1.01252 433.559
463 153.781 1.02282 436.188
464 154.114 1.03298 438.848
