#    Conf       T(K)      KE (eV)        PE (eV)         Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
      340     2213.95557     7911.90479  -145424.90625   -86443.38281   -79810.64063  -117941.57031   -61577.94531   -20865.46680      452.74814    -7978.31250
      342     2126.57300     7599.63037  -145106.03125   -77218.92969   -72750.02344  -106263.64844   -52643.11719   -18042.44531    -6113.11328    -2144.55859
      344     2076.17969     7419.54248  -144923.67188   -71984.75000   -74405.64844   -93114.30469   -48434.28906   -16279.82227   -14335.70508     1044.04358
      346     2099.50122     7502.88525  -145011.00000   -73495.07031   -84343.94531   -86241.93750   -49899.32031   -18585.19922   -24613.35742    -4166.51660
      348     2140.48950     7649.36279  -145161.32813   -78013.36719   -90693.50781   -87741.10938   -55605.49609   -22236.91992   -32918.11719    -9277.78809
      350     2137.50659     7638.70313  -145150.07813   -81131.34375   -90281.88281   -87435.96094   -65676.19531   -28973.11133   -34330.24219   -11235.06738
      352     2090.60352     7471.08838  -144979.92188   -82936.91406   -90010.39844   -77914.15625   -80886.19531   -36909.79297   -27092.21094   -10845.86230
      354     2048.12817     7319.29639  -144822.35938   -85513.55469   -95799.53906   -61445.03516   -99296.07813   -42941.19922   -16039.53809    -8851.03516
      356     2084.39258     7448.89258  -144954.37500   -90182.32031  -102290.99219   -51188.83984  -117067.11719   -42107.93750    -5521.42188    -5675.52539
      358     2175.07349     7772.95410  -145282.73438   -95454.82031  -104543.35938   -51172.06641  -130649.02344   -32194.30859     3094.96118    -1137.91736
      360     2264.28125     8091.75146  -145601.90625  -100387.32813  -104602.54688   -58972.51953  -137586.92188   -20284.10547     6902.12061    -1048.87549
      362     2330.89453     8329.80371  -145844.68750  -104076.49219  -105350.15625   -68510.40625  -138368.92188   -14327.22754     3933.81177   -10172.37793
      364     2318.02637     8283.81738  -145798.35938  -103857.39063  -105645.42188   -71608.02344  -134318.73438   -17259.00000     1309.76965   -22155.61914
      366     2259.05054     8073.05908  -145581.90625  -101593.50000  -103812.18750   -75592.50781  -125375.81250   -22661.87109     8302.27441   -21928.43555
      368     2213.42725     7910.01709  -145423.39063  -100125.27344   -98386.52344   -90687.33594  -111301.97656   -25599.22852    17981.85742   -12921.79004
      370     2150.45850     7684.98877  -145191.53125   -97550.14844   -93758.42969  -101996.29688   -96895.72656   -28533.82422    21214.14453    -4134.57129
      372     2149.72681     7682.37402  -145192.51563   -96463.77344   -91369.63281  -113057.69531   -84963.99219   -31671.89063    13963.14844     1158.22180
      374     2187.43848     7817.14258  -145330.70313   -96251.02344   -86603.00000  -124070.32813   -78079.74219   -32122.89844     3593.17798     -432.41785
      376     2215.72461     7918.22705  -145429.57813   -96251.78125   -80877.83594  -125838.21094   -82039.30469   -27031.12305     1277.17444    -7511.18311
      378     2245.14648     8023.37061  -145535.29688   -95737.85938   -83181.36719  -110480.97656   -93551.23438   -16095.85645      -41.43335   -18147.32813
      380     2254.88306     8058.16602  -145573.78125   -93184.96094   -91000.64844   -88900.82813   -99653.39844   -12458.78613    -6115.69922   -22362.40625
      382     2204.90259     7879.55322  -145390.00000   -87849.36719   -95733.47656   -70202.50781   -97612.13281   -15048.62695   -12643.92578   -18650.92578
      384     2172.87231     7765.08838  -145272.07813   -84519.63281  -103489.99219   -60543.52344   -89525.37500   -14728.38965   -12454.55273   -12626.92871
      386     2197.79834     7854.16504  -145368.68750   -85057.54688  -115152.78125   -57994.71484   -82025.14063    -9442.23926    -1214.62402    -8608.85449
      388     2178.70337     7785.92578  -145296.84375   -84270.39844  -120411.07031   -54207.51953   -78192.59375     -242.44061    12095.68652    -2396.35132
      390     2147.21899     7673.41211  -145178.92188   -82737.37500  -116184.14844   -54039.55078   -77988.42969    15854.24902    17707.79102     4527.50244
      392     2188.11914     7819.57471  -145324.68750   -83939.74219  -114122.88281   -55364.54688   -82331.79688    28633.75977    14148.35645     5997.42188
      394     2301.02637     8223.06543  -145736.85938   -88332.67188  -117304.86719   -59978.19141   -87714.95313    27512.12305    10668.27832     8050.33008
      396     2362.34399     8442.19434  -145959.23438   -91042.07031  -116225.67969   -65129.55859   -91770.97656    17315.43164     8695.60156    13037.95117
      398     2307.72314     8246.99805  -145759.89063   -89350.91406  -108901.44531   -68129.89063   -91021.39844     6337.57861     5973.54395    19926.91602
      400     2199.24292     7859.32764  -145366.78125   -86373.00781  -111562.27344   -61685.27734   -85871.47656    -1340.81885     2373.01074    21902.34570
      402     2130.97778     7615.37207  -145120.57813   -86638.46875  -126707.05469   -53152.85938   -80055.50000    -5126.10840    -2616.72998    17806.31445
      404     2138.88208     7643.61865  -145150.35938   -90054.11719  -129272.63281   -60558.15625   -80331.55469    -8677.04297    -9878.41797    12241.58691
      406     2185.86426     7811.51660  -145321.65625   -94187.77344  -119437.21875   -75876.37500   -87249.72656   -10323.96680   -11885.12793    10394.80957
      408     2216.03833     7919.34863  -145429.12500   -96870.67188  -110147.67188   -89802.55469   -90661.78125   -10003.46680    -9251.37305     9920.14648
      410     2218.87036     7929.46875  -145441.75000   -97471.23438  -108369.22656   -95738.30469   -88306.18750   -10162.67285    -8322.02832     4476.15869
      412     2154.51001     7699.46777  -145214.39063   -94068.00781  -103920.43750   -92509.34375   -85774.25000    -6001.81348   -13152.92480    -3927.33813
      414     2064.16309     7376.59912  -144881.75000   -89266.36719   -87785.10938   -95638.24219   -84375.75000    -5281.88281   -19829.04102   -14306.09180
      416     2042.53601     7299.31152  -144807.81250   -87816.00781   -85614.82813  -101964.14063   -75869.06250   -14762.94824   -21056.54492   -22772.77734
      418     2022.37195     7227.25244  -144735.45313   -86238.62500  -101342.13281   -95764.32813   -61609.41797   -19016.21875   -14881.74512   -21606.37695
      420     2007.48291     7174.04395  -144678.25000   -85158.53906  -114912.95313   -92046.07813   -48516.57422   -18352.04297    -5033.56006   -14411.68164
      422     2053.47388     7338.39990  -144841.89063   -88010.14844  -118370.09375   -99245.63281   -46414.72266    -8989.66211     2800.77100    -8375.26758
      424     2150.11426     7683.75879  -145196.09375   -93644.02344  -118570.03125  -105447.81250   -56914.23047     4377.78760     6703.74268    -7601.36084
      426     2182.54370     7799.65039  -145309.85938   -94330.35938  -117189.25781   -97401.10156   -68400.71875    14002.84082     9432.57129    -9604.57910
      428     2164.71558     7735.93896  -145243.07813   -89585.46875  -110149.64063   -81627.27344   -76979.49219    21202.51563     8565.70117   -10240.53906
      430     2158.00977     7711.97461  -145216.82813   -83283.25000  -100285.75000   -68096.11719   -81467.89844    27059.80664     2457.94385    -7310.75879
      432     2198.86279     7857.96924  -145368.68750   -78389.64063   -96660.91406   -58407.58594   -80100.42188    29424.05664    -5392.30762    -3618.91675
      434     2233.79053     7982.78809  -145493.60938   -74598.33594   -95839.94531   -51036.18750   -76918.87500    28216.32617   -11005.72363    -3523.08057
      436     2262.03760     8083.73389  -145596.23438   -74420.81250  -103010.53125   -49023.75000   -71228.16406    16739.12109   -13483.20703    -2746.99780
      438     2300.97437     8222.88086  -145735.21875   -77874.57813  -107900.29688   -52302.70703   -73420.73438     3862.46265   -21691.09180    -5948.25439
      440     2323.97534     8305.07715  -145820.15625   -81805.77344  -102831.06250   -58281.69531   -84304.56250    -2190.98779   -32525.53516    -9364.30469
      442     2281.71484     8154.05322  -145664.56250   -83471.08594   -89216.32031   -64135.85156   -97061.08594     -605.04895   -36490.78906    -5965.03076
      444     2235.05371     7987.30273  -145492.84375   -85393.10156   -78611.24219   -74213.33594  -103354.71094     4318.95459   -37126.70703      492.76859
      446     2246.91162     8029.67920  -145537.90625   -89624.28125   -81951.31250   -90470.07813   -96451.46094     5486.22852   -33581.90234     7350.59082
      448     2281.17334     8152.11768  -145660.54688   -93709.66406   -92545.37500  -105959.92969   -82623.67188     3490.93384   -25669.61914    13213.78223
      450     2286.36206     8170.66113  -145683.28125   -95028.07813   -94825.75781  -119295.03906   -70963.42969     7540.84814   -10362.72852    14603.48535
      452     2213.22559     7909.29639  -145423.76563   -91536.46875   -76112.87500  -134402.89063   -64093.64063    19600.98828    10794.14063    12150.16016
      454     2060.49878     7363.50391  -144870.23438   -85094.39844   -53979.42578  -141748.73438   -59555.03125    24662.13281    31063.75781    12433.57715
      456     1941.52747     6938.34229  -144442.60938   -82243.92188   -54839.73828  -131201.79688   -60690.24219    12418.48047    37437.72266    14670.09570
      458     1917.94727     6854.07471  -144358.87500   -84460.31250   -74746.13281  -110033.99219   -68600.79688     -739.01019    27363.45508    11970.66113
      460     1953.77148     6982.09814  -144491.50000   -87797.03125   -93089.71875   -97289.62500   -73011.74219    -4700.49805    11824.20996     4046.10254
      462     1963.63904     7017.36084  -144525.57813   -88049.01563  -103120.10938   -91235.55469   -69791.37500    -4137.00635     -820.24622    -4212.86133
      464     1942.96729     6943.48779  -144448.65625   -85964.89063  -105633.17969   -86443.78125   -65817.71875    -1694.97510   -10391.56836   -12025.71582
      466     1940.08862     6933.20020  -144434.31250   -84867.58594  -101473.24219   -82880.32031   -70249.18750     7051.72852   -15202.29590   -14590.33008
      468     2013.96423     7197.20605  -144700.51563   -87121.89063   -92988.33594   -89307.57813   -79069.76563    15698.46875   -19841.46484   -10242.16895
      470     2138.51294     7642.29980  -145153.57813   -90621.56250   -90121.71875   -95400.24219   -86342.74219    24748.50586   -24393.58789     -947.05640
      472     2197.83008     7854.27881  -145373.57813   -89628.22656   -85082.62500   -97430.82813   -86371.22656    34608.06250   -28730.39648     9439.24902
      474     2102.67749     7514.23584  -145026.98438   -81449.23438   -69677.71094   -91165.98438   -83504.00781    45267.76953   -30375.67969    17935.79688
      476     2003.92322     7161.32275  -144662.32813   -74472.14844   -57440.77734   -78565.85156   -87409.82813    48093.37891   -34613.69531    17904.17383
      478     2043.59546     7303.09766  -144814.90625   -75544.03906   -59335.69531   -71865.85156   -95430.57031    41136.93359   -46382.02344    10427.12891
      480     2089.59888     7467.49805  -144977.23438   -77413.89063   -65439.39844   -67977.45313   -98824.81250    34061.09766   -48612.60156     5966.27393
      482     2119.98413     7576.08398  -145087.96875   -77172.23438   -69691.84375   -65254.01563   -96570.84375    25452.82031   -40528.85547      883.45410
      484     2095.55396     7488.77881  -144999.56250   -74204.51563   -72123.50781   -64189.37891   -86300.66406    15980.49902   -32689.16016    -1291.22583
      486     2032.02734     7261.75732  -144767.07813   -70957.47656   -74478.93750   -60932.12891   -77461.37500    10930.38184   -23852.49414     1841.57373
      488     1997.90015     7139.79834  -144647.50000   -71130.54688   -73159.34375   -58367.52344   -81864.77344    16251.32129   -12024.75488     9946.50781
