# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
   218   126.97310    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   219   134.44211    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   220   141.91112    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   221   149.38011    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   222   156.84912    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   223   164.31813    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   224   171.78714    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   225   179.25613    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   226   186.72514    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   227   194.19415    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   228   201.66316    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   229   209.13217    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   230   216.60117    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   231   224.07018    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   232   231.53918    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   233   239.00819    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   234   246.47719    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   235   253.94620    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   236   261.41519    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   237   268.88422    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   238   276.35321    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   239   283.82224    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   240   291.29123    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   241   298.76022    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   242   306.22925    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   243   313.69824    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   244   321.16727    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   245   328.63626    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   246   336.10526    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   247   343.57428    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   248   351.04327    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   249   358.51227    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   250   365.98129    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   251     0.00000    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   252     7.46901    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   253    14.93801    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   254    22.40702    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   255    29.87602    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   256    37.34503    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   257    44.81403    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   258    52.28304    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   259    59.75205    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   260    67.22105    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   261    74.69006    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   262    82.15907    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   263    89.62807    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   264    97.09708    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   265   104.56609    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   266   112.03509    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   267   119.50410    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   268   126.97310    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   269   134.44211    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   270   141.91112    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   271   149.38011    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   272   156.84912    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   273   164.31813    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   274   171.78714    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   275   179.25613    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   276   186.72514    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   277   194.19415    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   278   201.66316    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   279   209.13217    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   280   216.60117    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   281   224.07018    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   282   231.53918    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   283   239.00819    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   284   246.47719    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   285   253.94620    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   286   261.41519    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   287   268.88422    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   288   276.35321    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   289   283.82224    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   290   291.29123    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   291   298.76022    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   292   306.22925    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   293   313.69824    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   294   321.16727    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   295   328.63626    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   296   336.10526    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   297   343.57428    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   298   351.04327    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   299   358.51227    74.69006     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   300   365.98129    82.15907     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   301     0.00000    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   302     7.46901    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   303    14.93801    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   304    22.40702    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   305    29.87602    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   306    37.34503    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   307    44.81403    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   308    52.28304    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   309    59.75205    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   310    67.22105    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   311    74.69006    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   312    82.15907    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   313    89.62807    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   314    97.09708    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   315   104.56609    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   316   112.03509    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   317   119.50410    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   318   126.97310    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   319   134.44211    89.62807     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   320   141.91112    97.09708     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
