# Cluster    x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
  213   155.95612   452.15051   481.56668     0.08887     0.28297     0.23616     0.23187     0.25667
  214   567.83893     4.12811   415.01651     0.07719     0.21107     0.23250     0.18122     0.21578
  215   527.56671   518.56458    97.39955     0.10397     0.24375     0.24255     0.20692     0.32307
  216   420.36368   538.70050   306.69385     0.08797     0.23369     0.22200     0.23025     0.40682
  217   454.31131   242.65057     9.25492     0.10818     0.18307     0.29560     0.25584     0.27427
  218   512.07550   201.86026   606.91113     0.10498     0.31724     0.17185     0.29163     0.29132
  219   185.06920   309.49091    27.30856     0.07555     0.27001     0.19152     0.17689     0.32021
  220   560.63184   151.21466   551.15784     0.08826     0.23433     0.17980     0.16404     0.26757
  221   175.93913   114.12968   606.70441     0.13928     0.22213     0.32227     0.23010     0.31777
  222   114.18090   130.69537   501.03668     0.07197     0.21246     0.14270     0.16560     0.36064
  223   271.67450   195.25410   114.13971     0.11361     0.28176     0.18126     0.23027     0.30295
  224   141.26314   299.57193   460.37286     0.09721     0.23257     0.28739     0.23753     0.32254
  225   318.28632   102.56445   348.47144     0.06081     0.22338     0.25157     0.23034     0.33294
  226   594.23486   622.08893   339.32468     0.13799     0.17433     0.22710     0.19433     0.31489
  227    13.63029   593.64203   541.50104     0.11795     0.27408     0.18258     0.25609     0.34345
  228   395.54221   199.08498   505.14261     0.16563     0.19555     0.29509     0.25657     0.32146
  229   344.89084     9.09704   381.86343     0.08312     0.18796     0.22898     0.25941     0.29190
  230    89.47747   242.44106   408.22949     0.09578     0.30722     0.21933     0.17618     0.33323
  231   510.45499   351.90753   517.73694     0.11267     0.19212     0.25252     0.25905     0.27164
  232   584.77374   425.49573   402.96255     0.08045     0.28429     0.21783     0.23176     0.29720
  233   641.13025   587.54932   240.27937     0.16910     0.19590     0.22266     0.31386     0.35684
  234   282.90277    92.98351   653.25446     0.07370     0.27105     0.20052     0.23200     0.33929
  235   645.02405   178.36371    54.34912     0.11685     0.28838     0.14661     0.14877     0.44513
  236   353.30359   181.49016   138.99733     0.10493     0.25448     0.14614     0.21142     0.25837
  237   363.08627    97.28708   116.12168     0.12199     0.37854     0.29147     0.30820     0.37245
  238   277.01736   647.46838   143.86316     0.06589     0.23127     0.31374     0.25382     0.32206
  239   441.08261   385.76355   386.71350     0.09055     0.27375     0.15958     0.16596     0.29318
  240   244.20816    13.46432   241.87289     0.08928     0.19948     0.27807     0.21251     0.33410
  241   143.22325   363.39362   237.74757     0.06046     0.26156     0.17373     0.20119     0.28529
  242   631.52441    85.51696   166.09842     0.06700     0.30225     0.25238     0.18340     0.33249
  243   400.96072   133.43895   559.04840     0.06556     0.31726     0.19477     0.24006     0.29052
  244   194.55539   176.43022   530.73352     0.04511     0.22154     0.12978     0.22391     0.25858
  245    92.98486   123.96327   640.11829     0.09268     0.21510     0.23645     0.14719     0.37972
  246   258.85938   121.84097   534.38947     0.10998     0.25656     0.19717     0.24238     0.29102
  247   166.29648   516.29047    45.48686     0.16385     0.22435     0.20359     0.24294     0.31205
  248   428.58194   173.70882   432.86816     0.11546     0.26223     0.21126     0.22696     0.25434
  249    39.15361   269.55774   181.89816     0.04631     0.25204     0.18439     0.13068     0.30612
  250   530.55841    64.72717   258.92694     0.06609     0.23643     0.26756     0.19131     0.28319
  251   572.47412   629.62787   656.25140     0.08137     0.28057     0.20080     0.20232     0.29692
  252     8.83754   372.50943   491.79825     0.02693     0.28539     0.18142     0.21351     0.29879
  253    81.64012   119.65099   352.18036     0.06712     0.23982     0.23318     0.16744     0.28965
  254   510.01779   598.46228   363.38654     0.07740     0.19543     0.26326     0.21391     0.25909
  255   233.92917   130.94516   374.39780     0.06294     0.31138     0.14152     0.26089     0.34376
  256    26.23414   153.84401   126.85042     0.08754     0.34046     0.22651     0.23379     0.38717
  257   387.02307    44.14871   528.53784     0.10078     0.26430     0.26916     0.21994     0.34657
  258   162.31633   319.92291   544.06598     0.07537     0.21631     0.21028     0.18242     0.28870
  259   581.99060    28.96610    94.07735     0.09269     0.21511     0.28021     0.22834     0.28362
  260   233.91112   655.90662   352.51160     0.09276     0.26424     0.26426     0.23712     0.32396
  261   207.97606   376.41476   499.03687     0.09323     0.31643     0.15774     0.20238     0.21104
  262   202.80536   232.28423   656.33344     0.05296     0.31985     0.19450     0.17685     0.26033
  263   223.69392    66.33792   307.76013     0.04871     0.20078     0.18619     0.18041     0.21688
  264   162.44597    23.54299   215.03461     0.14479     0.28851     0.20361     0.18915     0.30363
  265   624.49591   480.26678   127.18925     0.10196     0.25009     0.27776     0.21266     0.30230
  266   519.14569   163.63406   121.47880     0.06483     0.25762     0.20210     0.15973     0.30465
  267   236.18718   398.32571     5.39223     0.09088     0.28278     0.23783     0.22291     0.34505
  268   426.73294   316.83545   528.11322     0.10159     0.20630     0.18128     0.18014     0.24378
  269   398.67151   515.93591     3.74318     0.07082     0.33650     0.28273     0.32454     0.36304
  270    64.72797    36.27079   351.54913     0.09398     0.26048     0.17617     0.19315     0.34885
  271   495.93149   655.86804   607.78394     0.12481     0.21836     0.20488     0.21039     0.24173
  272   611.15070   617.13550   488.98273     0.13056     0.30363     0.27712     0.21315     0.32810
  273   163.06912   403.11380    63.89672     0.10672     0.22991     0.28521     0.22175     0.27975
  274   258.71063   312.46854   527.92896     0.07333     0.17672     0.16692     0.18311     0.26568
  275   590.37378   189.33521   646.57562     0.08177     0.24496     0.15391     0.20919     0.25588
  276   324.52045   171.02859   566.03217     0.11690     0.22482     0.17278     0.17521     0.33181
  277   600.25244   390.80017    72.49207     0.04674     0.23122     0.19209     0.19087     0.25243
  278   459.36057   351.85904    32.49968     0.08901     0.31437     0.25773     0.23133     0.25347
  279   336.41223   349.82562   471.35721     0.15273     0.22634     0.21749     0.27142     0.34904
  280   154.19783   369.81046   635.21954     0.08974     0.29367     0.26147     0.27233     0.33440
  281   319.71234    54.46307   180.24046     0.14181     0.29654     0.21616     0.24417     0.36393
  282   104.70143   331.95090    39.79370     0.05058     0.28493     0.19587     0.25912     0.30526
  283    57.97246   604.97522   207.97731     0.07930     0.26045     0.21880     0.24153     0.34468
  284   347.17517   440.30978   473.03625     0.10123     0.19504     0.21148     0.18836     0.27880
  285   438.74634   372.10385   209.86263     0.10555     0.26817     0.19443     0.24475     0.42413
  286    36.99504   116.72803   205.46504     0.08230     0.26195     0.24196     0.19836     0.35073
  287   270.49832   398.63370   442.24323     0.08665     0.28791     0.16890     0.28399     0.29172
  288   478.08527   184.15421   363.07904     0.06667     0.24471     0.18912     0.21262     0.29157
  289   143.36882   477.95245   125.30738     0.04302     0.20873     0.15042     0.17783     0.25787
  290   645.01904   612.96826   622.79291     0.05345     0.25181     0.24711     0.25037     0.31846
  291   655.91174    17.07131   546.70361     0.05892     0.17628     0.24301     0.23169     0.27732
  292   593.76093   387.66852   540.27911     0.12985     0.19243     0.21467     0.17710     0.32421
  293   638.69843   549.46893   316.74213     0.08106     0.29849     0.21644     0.29188     0.26978
  294   145.29543   550.80652   279.73770     0.10575     0.29313     0.22793     0.18509     0.33900
  295   276.30054   590.67365   500.40213     0.07109     0.25399     0.12699     0.20991     0.27496
  296   290.00171   246.76923     5.08975     0.06159     0.16352     0.21929     0.24550     0.27083
  297   233.07404   453.94116   528.42926     0.06576     0.30750     0.18422     0.22283     0.35442
  298   472.11148   582.91968    66.84077     0.14242     0.18956     0.21844     0.25216     0.26480
  299   513.92352   258.43207   397.72556     0.07028     0.24519     0.14935     0.19993     0.30928
  300   585.32159    47.34603   326.10016     0.04538     0.19377     0.17266     0.19732     0.26239
  301   270.47437   201.86263   504.23697     0.12767     0.24758     0.17113     0.19671     0.29907
  302   324.41605    85.46735   573.34839     0.12883     0.24642     0.20418     0.22440     0.38411
  303   395.62134    63.19923   615.77399     0.11913     0.26905     0.24312     0.23337     0.38846
  304   543.04327    91.78423   152.96100     0.07481     0.28254     0.20818     0.21141     0.29822
  305   636.53778   293.68005   482.48752     0.12651     0.24398     0.22233     0.21846     0.27985
  306   626.64594   349.96964   643.33246     0.08924     0.25913     0.17910     0.17474     0.26634
  307    77.17419   189.01697   195.28873     0.05830     0.33192     0.24056     0.27603     0.37995
  308   618.35693   281.93329   203.77052     0.08610     0.25635     0.17908     0.22997     0.32366
  309   413.55948    30.68730   447.54626     0.10411     0.25325     0.22959     0.18656     0.31596
  310   488.49927   536.08600   564.02063     0.10392     0.12759     0.33219     0.35149     0.29810
  311   282.72681   478.29016   106.36371     0.10736     0.24928     0.19783     0.21412     0.30308
  312   421.85434   658.18488    12.88340     0.11714     0.26414     0.26466     0.23446     0.30720
  313   455.92410   459.42526   254.15358     0.06674     0.23457     0.19713     0.23407     0.23102
  314   431.41507   461.65582   431.00424     0.08047     0.29230     0.13995     0.21520     0.34744
  315   621.63922   530.86566   645.83661     0.08801     0.23179     0.31413     0.26059     0.37154
  316   290.28134   186.73346   370.71573     0.09113     0.22814     0.15787     0.17949     0.33920
