#         w(THz)       w(meV)            Z(w)
       76.75605      317.38629       -0.00013
       76.95136      318.19388       -0.00006
       77.14667      319.00150       -0.00013
       77.34197      319.80908       -0.00006
       77.53728      320.61670       -0.00013
       77.73259      321.42429       -0.00007
       77.92789      322.23187       -0.00012
       78.12321      323.03949       -0.00007
       78.31851      323.84708       -0.00011
       78.51382      324.65469       -0.00008
       78.70913      325.46228       -0.00010
       78.90444      326.26987       -0.00009
       79.09975      327.07745       -0.00009
       79.29506      327.88510       -0.00010
       79.49036      328.69269       -0.00009
       79.68568      329.50027       -0.00011
       79.88098      330.30786       -0.00008
       80.07629      331.11548       -0.00012
       80.27160      331.92307       -0.00007
       80.46690      332.73068       -0.00013
       80.66222      333.53827       -0.00006
       80.85752      334.34586       -0.00013
       81.05283      335.15344       -0.00006
       81.24814      335.96103       -0.00013
       81.44344      336.76868       -0.00006
       81.63875      337.57626       -0.00013
       81.83406      338.38388       -0.00006
       82.02937      339.19147       -0.00013
       82.22467      339.99905       -0.00007
       82.41998      340.80664       -0.00012
       82.61530      341.61426       -0.00007
       82.81061      342.42188       -0.00012
       83.00591      343.22943       -0.00008
       83.20122      344.03705       -0.00011
       83.39653      344.84467       -0.00009
       83.59183      345.65225       -0.00010
       83.78714      346.45984       -0.00010
       83.98245      347.26746       -0.00009
       84.17776      348.07507       -0.00011
       84.37306      348.88263       -0.00008
       84.56837      349.69025       -0.00012
       84.76368      350.49783       -0.00007
       84.95899      351.30545       -0.00012
       85.15430      352.11301       -0.00007
       85.34960      352.92062       -0.00013
       85.54491      353.72827       -0.00006
       85.74023      354.53586       -0.00013
       85.93552      355.34344       -0.00006
       86.13084      356.15103       -0.00013
       86.32615      356.95865       -0.00006
       86.52145      357.76620       -0.00013
       86.71676      358.57382       -0.00006
       86.91207      359.38141       -0.00013
       87.10738      360.18903       -0.00007
       87.30268      360.99661       -0.00012
       87.49799      361.80420       -0.00008
       87.69331      362.61185       -0.00011
       87.88861      363.41943       -0.00009
       88.08392      364.22702       -0.00010
       88.27923      365.03461       -0.00009
       88.47453      365.84222       -0.00009
       88.66985      366.64984       -0.00010
       88.86515      367.45740       -0.00008
       89.06046      368.26501       -0.00011
       89.25577      369.07260       -0.00008
       89.45107      369.88019       -0.00012
       89.64638      370.68777       -0.00007
       89.84169      371.49542       -0.00013
       90.03700      372.30304       -0.00007
       90.23230      373.11060       -0.00013
       90.42761      373.91821       -0.00006
       90.62292      374.72580       -0.00013
       90.81824      375.53342       -0.00006
       91.01353      376.34097       -0.00013
       91.20885      377.14859       -0.00006
       91.40416      377.95621       -0.00013
       91.59946      378.76379       -0.00007
       91.79477      379.57138       -0.00012
       91.99008      380.37897       -0.00007
       92.18539      381.18661       -0.00011
       92.38069      381.99417       -0.00008
       92.57600      382.80179       -0.00011
       92.77131      383.60941       -0.00009
       92.96662      384.41699       -0.00010
       93.16192      385.22458       -0.00010
       93.35723      386.03217       -0.00009
       93.55254      386.83978       -0.00011
       93.74786      387.64737       -0.00008
       93.94315      388.45496       -0.00012
       94.13847      389.26260       -0.00007
       94.33378      390.07019       -0.00012
       94.52908      390.87778       -0.00007
       94.72439      391.68536       -0.00013
       94.91970      392.49298       -0.00006
       95.11501      393.30057       -0.00013
       95.31031      394.10815       -0.00006
       95.50562      394.91577       -0.00013
       95.70093      395.72336       -0.00006
