#       r                rhoi_c        rho_+        rho_-
     93.8838654     -0.0002582      0.0209454     -0.0212036
     94.3838654     -0.0003205      0.0205735     -0.0208939
     94.8838654     -0.0000197      0.0204160     -0.0204357
     95.3838654     -0.0001355      0.0198758     -0.0200113
     95.8838654      0.0001813      0.0196703     -0.0194889
     96.3838654     -0.0000810      0.0193918     -0.0194728
     96.8838654      0.0002188      0.0195384     -0.0193195
     97.3838654      0.0004444      0.0194647     -0.0190203
     97.8838654      0.0005230      0.0194256     -0.0189025
     98.3838654      0.0004505      0.0196007     -0.0191502
     98.8838654      0.0000366      0.0197661     -0.0197295
     99.3838654      0.0001324      0.0209861     -0.0208538
     99.8838654      0.0000374      0.0220756     -0.0220382
    100.3838654     -0.0004714      0.0228914     -0.0233628
    100.8838654     -0.0006240      0.0226703     -0.0232943
    101.3838654     -0.0000868      0.0217630     -0.0218498
    101.8838654      0.0001650      0.0210405     -0.0208755
    102.3838654     -0.0008615      0.0212468     -0.0221083
    102.8838654     -0.0012369      0.0216710     -0.0229079
    103.3838654     -0.0001493      0.0224031     -0.0225524
    103.8838654      0.0012576      0.0224705     -0.0212130
    104.3838654     -0.0012659      0.0207548     -0.0220207
    104.8838654      0.0005137      0.0197718     -0.0192581
    105.3838654      0.0010019      0.0180791     -0.0170771
    105.8838654      0.0007553      0.0125727     -0.0118175
    106.3838654      0.0035136      0.0108746     -0.0073610
    106.8838654      0.0029884      0.0112931     -0.0083047
    107.3838654     -0.0008478      0.0163730     -0.0172208
    107.8838654     -0.0070130      0.0212118     -0.0282248
    108.3838654     -0.0051407      0.0245376     -0.0296783
    108.8838654      0.0019827      0.0049805     -0.0029978
    109.3838654      0.0003368      0.0003368      0.0000000
    109.8838654      0.0000138      0.0000138      0.0000000
    110.3838654      0.0000000      0.0000000      0.0000000
    110.8838654      0.0000000      0.0000000      0.0000000
    111.3838654      0.0000000      0.0000000      0.0000000
