#    Conf       T(K)      KE (Kcal/mol)  
 21790500      143.27939    16015.10156
 21792000      143.11559    15996.79199
 21793500      143.10028    15995.08203
 21795000      142.89474    15972.10840
 21796500      143.01697    15985.76855
 21798000      143.14972    16000.60742
 21799500      144.44595    16145.49414
 21801000      142.15022    15888.88867
 21802500      141.41348    15806.53906
 21804000      143.51910    16041.89648
 21805500      142.24144    15899.08496
 21807000      143.92174    16086.90039
 21808500      141.78882    15848.49219
 21810000      144.23720    16122.16211
 21811500      142.11623    15885.08789
 21813000      142.67207    15947.21875
 21814500      142.61113    15940.40723
 21816000      143.34901    16022.88379
 21817500      144.20795    16118.89160
 21819000      143.01947    15986.04883
 21820500      144.39882    16140.22559
 21822000      144.31488    16130.84277
 21823500      143.16405    16002.20996
 21825000      143.83878    16077.62695
 21826500      143.26843    16013.87695
 21828000      143.82721    16076.33496
 21829500      142.88905    15971.47168
 21831000      142.46013    15923.52930
 21832500      144.17380    16115.07422
 21834000      142.30913    15906.65039
 21835500      141.78612    15848.19043
 21837000      143.86241    16080.26855
 21838500      143.30373    16017.82227
 21840000      143.00186    15984.08105
 21841500      142.43375    15920.57910
 21843000      143.66656    16058.37891
 21844500      142.26485    15901.70215
 21846000      143.00996    15984.98730
 21847500      142.92484    15975.47168
 21849000      143.39597    16028.13184
 21850500      144.14209    16111.53027
 21852000      143.84895    16078.76465
 21853500      142.76651    15957.77539
 21855000      141.75627    15844.85449
 21856500      141.87073    15857.64844
 21858000      144.73582    16177.89453
 21859500      142.45474    15922.92578
 21861000      141.94827    15866.31543
 21862500      144.43492    16144.26270
 21864000      141.00418    15760.78906
 21865500      142.97185    15980.72559
 21867000      142.84866    15966.95801
 21868500      144.22565    16120.87012
 21870000      142.26810    15902.06445
 21871500      142.80600    15962.18848
 21873000      143.24759    16011.54785
 21874500      144.00424    16096.12207
 21876000      142.08272    15881.34375
 21877500      143.36601    16024.78320
 21879000      142.77341    15958.54492
 21880500      144.02705    16098.67188
 21882000      141.89992    15860.91016
 21883500      141.85646    15856.05273
 21885000      144.77626    16182.41504
 21886500      143.19563    16005.73926
 21888000      144.48445    16149.79785
 21889500      142.55882    15934.56055
 21891000      143.64047    16055.46191
 21892500      142.54729    15933.27051
 21894000      142.89552    15972.19434
 21895500      142.90121    15972.83008
 21897000      144.44189    16145.04004
 21898500      142.37088    15913.55273
 21900000      142.15784    15889.74023
 21901500      142.55063    15933.64355
 21903000      143.27643    16014.77051
 21904500      144.19324    16117.24707
 21906000      142.59814    15938.95410
 21907500      143.25758    16012.66406
 21909000      143.50974    16040.84766
 21910500      143.97820    16093.21094
 21912000      141.75070    15844.23242
 21913500      142.21246    15895.84570
 21915000      143.28415    16015.63379
 21916500      142.87506    15969.90820
 21918000      145.18137    16227.69531
 21919500      142.41791    15918.80957
 21921000      144.01144    16096.92773
 21922500      143.69443    16061.49219
 21924000      142.43996    15921.27441
 21925500      142.58989    15938.03320
 21927000      142.69026    15949.25293
 21928500      141.65204    15833.20410
 21930000      143.72298    16064.68457
 21931500      142.62512    15941.97168
 21933000      143.74271    16066.88867
 21934500      142.78429    15959.76074
 21936000      143.01186    15985.19922
 21937500      143.61519    16052.63477
 21939000      141.94044    15865.44043
 21940500      141.98309    15870.20801
 21942000      142.36502    15912.89746
 21943500      144.49995    16151.53125
 21945000      141.69711    15838.24316
 21946500      141.74500    15843.59375
 21948000      142.98245    15981.91113
 21949500      143.00046    15983.92480
 21951000      142.93671    15976.79883
 21952500      142.63942    15943.56836
 21954000      142.58583    15937.57910
 21955500      143.09969    15995.01465
 21957000      141.54053    15820.73926
 21958500      143.14777    16000.38867
 21960000      144.07115    16103.60156
 21961500      141.95006    15866.51563
 21963000      143.30116    16017.53613
 21964500      142.88278    15970.77051
 21966000      143.17171    16003.06641
 21967500      143.53006    16043.12109
 21969000      143.14633    16000.22949
 21970500      143.86978    16081.09277
 21972000      143.72685    16065.11816
 21973500      142.23679    15898.56348
 21975000      143.80627    16073.99414
 21976500      143.24707    16011.48926
 21978000      141.99800    15871.87500
 21979500      142.49857    15927.82520
