# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
   276     0.93393    13.16923    13.97693     0.21180     0.39104     0.27119     0.24682     0.27489
   277     4.94164    11.06411    12.80409     0.20234     0.35893     0.22983     0.26891     0.27235
   278    11.74201    15.75081     3.58980     0.17250     0.30074     0.31225     0.21317     0.19714
   279     7.99684     4.74145     9.04033     0.14518     0.26920     0.29531     0.24856     0.24229
   280     9.10958     4.83980    10.34097     0.13744     0.45510     0.34753     0.28816     0.29606
   281     0.10419     8.19034     3.12875     0.23545     0.32579     0.24717     0.28173     0.28749
   282    11.94457     3.14412    14.20103     0.17695     0.34539     0.30367     0.15579     0.31620
   283    13.03086     9.82415     4.55612     0.22478     0.19616     0.25706     0.24961     0.31096
   284     2.58566    14.22136     7.31360     0.23420     0.28273     0.32432     0.26022     0.25704
   285     9.85373     3.51621    12.99391     0.19139     0.28183     0.25455     0.23344     0.33723
   286     2.33208     0.03535     2.09862     0.10551     0.45426     0.24947     0.19538     0.31152
   287    11.04825     5.34130    15.31482     0.17716     0.20347     0.34331     0.23288     0.34022
   288     8.76945    16.57088     8.35359     0.10081     0.28085     0.31054     0.24828     0.22332
   289    15.85758     3.28993    16.48993     0.13243     0.35098     0.22474     0.24288     0.26925
   290    12.39402     3.00365     7.80993     0.11363     0.23313     0.27275     0.28718     0.21778
   291     0.86715     3.94138     7.73720     0.28504     0.29140     0.32803     0.30481     0.33010
   292     4.89290     4.90839    15.28851     0.14598     0.17542     0.26788     0.23117     0.28782
   293    15.27171    16.23944    10.25888     0.12234     0.41196     0.23408     0.22853     0.27310
   294     7.85428    16.55484    15.64794     0.21281     0.21944     0.28329     0.22050     0.27294
   295     0.51847     7.79167     6.58860     0.17273     0.28325     0.31164     0.20649     0.29134
   296    12.55753    14.77407     2.92007     0.12571     0.31069     0.31781     0.22574     0.28065
   297     4.81147    10.39092    15.89229     0.23353     0.36781     0.38507     0.34023     0.34693
   298    12.88711    13.85602     2.09714     0.12148     0.27645     0.17500     0.24225     0.28779
   299     0.08156     4.12949     4.89268     0.11851     0.38510     0.32456     0.27370     0.24677
   300     1.48012     6.15950     1.14052     0.14543     0.28896     0.24217     0.17044     0.23911
   301     5.70813    15.61171    14.30647     0.18953     0.34210     0.30170     0.31183     0.24409
   302     8.45288     7.22828     5.01221     0.29759     0.25892     0.36730     0.33110     0.25759
   303    16.05989     0.47986     1.00290     0.18076     0.30245     0.28420     0.26005     0.25589
   304     2.77633    11.99817     5.05014     0.23214     0.43895     0.32080     0.33332     0.37130
   305    14.78626    13.27024     9.44517     0.12383     0.27364     0.28516     0.26842     0.26568
   306    13.50393    12.83624    12.68217     0.15789     0.32206     0.33247     0.26974     0.26400
   307     4.42706     3.91673     9.55483     0.10892     0.21142     0.40176     0.30773     0.34114
   308     3.26920     8.62448     7.37759     0.11639     0.42934     0.29287     0.27516     0.24559
   309     8.21691     2.68459     7.27451     0.12793     0.33291     0.26071     0.23018     0.26247
   310     3.15173     7.85552    11.75604     0.05509     0.31080     0.24133     0.19819     0.18635
   311    13.51678     7.31201    11.06965     0.13713     0.34087     0.27818     0.24209     0.28133
   312    12.58336     8.96254    12.24289     0.33041     0.37826     0.30436     0.35360     0.29691
   313    12.07773     4.50924     9.38533     0.24932     0.34374     0.27624     0.28415     0.27682
   314    10.29805     1.64207     5.76863     0.19910     0.34199     0.27717     0.27952     0.27565
   315     4.09515    12.56583    10.28123     0.24431     0.26030     0.22732     0.22909     0.29610
   316     0.75923    15.39374     1.49181     0.13636     0.23823     0.31969     0.21466     0.26501
   317    11.21291     8.05618     5.21103     0.14482     0.31902     0.25190     0.24772     0.32805
   318    12.98402    16.65135     5.26502     0.13478     0.39098     0.30407     0.27161     0.30423
   319    10.27046    10.58566     8.99888     0.13514     0.31525     0.34519     0.32205     0.30768
   320    12.94719     1.26874     3.23926     0.11411     0.35381     0.28135     0.24843     0.27203
