#       Q              S_11(Q)         S_22(Q)         S_33(Q)         S_44(Q)         S_55(Q)         S_66(Q)         S_77(Q)
      18.6417503       1.1394770       1.1380055       0.9439177       0.9658253       1.3947163       1.1290962       0.8375857
      18.7242374       1.1731044       0.9824602       0.9379069       1.0615190       1.0397269       1.0178026       0.8564007
      18.8067226       1.1051737       1.0324938       1.1302028       1.2069538       0.8103031       0.8240494       1.0469322
      18.8892078       0.8981780       1.1176282       0.7682210       1.2136159       1.0240527       1.1757215       1.0883017
      18.9716930       0.8266231       1.1424518       1.1478405       1.1917256       1.0665290       0.9675194       0.7686638
      19.0541782       0.8186323       1.2028196       0.8936595       1.0757343       1.1852447       1.0104775       0.7461656
      19.1366653       0.9923318       1.0805995       1.1190311       1.0200698       1.0451033       1.2158908       1.1114025
      19.2191505       1.0114915       1.0531594       0.9540281       1.0925274       0.9556835       0.9583838       1.1226697
      19.3016357       0.9914550       1.0063100       1.0417438       1.0788778       1.1379201       0.8552563       0.8171955
      19.3841209       0.8222923       1.0405310       1.1913495       1.0347290       1.0581070       1.0692918       0.8338102
      19.4666080       0.9102737       1.2156984       1.1203986       1.1026323       1.1181935       1.1588784       0.8478994
      19.5490932       1.0503172       1.0908105       0.9434317       1.3062714       0.9711173       1.1434236       1.0426621
      19.6315784       0.9722205       0.9859208       1.1427140       0.9721165       1.0424572       1.2555212       1.0805421
      19.7140636       0.9598233       0.9796668       0.8177741       1.1335244       1.0614994       0.8408544       0.9791507
      19.7965488       0.8670209       0.8007374       1.0161949       0.9019102       0.9112210       0.8878650       0.7741722
      19.8790359       1.0025659       0.8642608       1.0168239       1.1036893       0.9827099       0.9214469       0.8879543
      19.9615211       1.0293326       1.1567012       0.8330650       0.9020333       1.0192155       0.9721084       1.1758844
